event_date,event_time,Sport,Venue,Events
21st_July_2021,1:00,Baseball/Softball,Fukushima Azuma Baseball Stadium,"Australia vs Japan, Italy vs United States, Mexico vs Canada"
21st_July_2021,8:30,Football,Sapporo Dome,"Women's Group E: Great Britain vs Chile, Women's Group E: Japan vs Canada"
21st_July_2021,9:00,Football,Miyagi Stadium,"Women's Group F: China vs Brazil, Women's Group F: Zambia vs Netherlands"
21st_July_2021,9:30,Football,Tokyo Stadium,"Women's Group G: Sweden vs United States, Women's Group G: Australia vs New Zealand"
22nd_July_2021,1:00,Baseball/Softball,Fukushima Azuma Baseball Stadium,"United States vs Canada, Mexico vs Japan, Italy vs Australia"
22nd_July_2021,8:30,Football,Sapporo Dome,"Men's Group C: Egypt vs Spain, Men's Group C: Argentina vs Australia"
22_July_2021,9:00,Football,Ibaraki Kashima Stadium,"Men's Group B: New Zealand vs Republic of Korea, Men's Group C: Honduras vs Romania"
22nd_July_2021,9:00,Football,Tokyo Stadium,"Men's Group A: Mexico vs France, Men's Group A: Japan vs South Africa "
22nd_July_2021,9:30,Football,Ibaraki Kashima Stadium,"Men's Group D: Côte d'Ivoire vs Saudi Arabia, Men's Group D: Brazil vs Germany"
23rd_July_2021,0:30,Rowing,Sea Forest Waterway,"Men's Single Sculls Heats, Women's Single Sculls Heats, Men's Double Sculls Heats, Women's Double Sculls Heats, Men's Quadruple Sculls Heats, Women's Quadruple Sculls Heats"
23rd_July_2021,1:00,Archery,Yumenoshima Park Archery Field,Women's Individual Ranking Round
23rd_July_2021,5:00,Archery,Yumenoshima Park Archery Field,Men's Individual Ranking Round
23rd_July_2021,12:00,Opening Ceremony,Olympic Stadium,-
24th_July_2021,0:30,Shooting,Asaka Shooting Range,"10m Air Rifle Women's Qualification, 10m Air Rifle Women's Finals , 10m Air Rifle Women's Victory Ceremony, 10m Air Pistol Men's Qualification, 10m Air Pistol Men's Finals"
24th_July_2021,0:30,Rowing,Sea Forest Waterway,"Women's Single Sculls Repechages, Men's Single Sculls Repechages, Women's Double Sculls Repechage, Men's Double Sculls Repechage, Women's Pair Heats, Men's Pair Heats, Lightweight Women's Double Sculls Heats, Lightweight Men's Double Sculls Heats, Women's Four Heats, Men's Four Heats"
24th_July_2021,1:00,Badminton,Musashino Forest Sport Plaza,"Men's Singles Group Play Stage, Women's Singles Group Play Stage, Men's Doubles Group Play Stage, Women's Doubles Group Play Stage, Mixed Doubles Group Play Stage"
24th_July_2021,1:00,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group A: Norway vs Brazil, Men's Preliminary Round Group A: France vs Argentina"
24th_July_2021,1:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (4 matches)
24th_July_2021,1:00,Fencing,Makuhari Messe Hall,"Women's Epée Individual Table of 64, Men's Sabre Individual Table of 64, Women's Epée Individual Table of 32, Men's Sabre Individual Table of 32, Women's Epée Individual Table of 16, Men's Sabre Individual Table of 16, Women's Epée Individual Quarterfinals, Men's Sabre Individual Quarterfinals"
24th_July_2021,1:00,Volleyball,Ariake Arena,"Men's Preliminary Round Pool A: Italy vs Canada, Men's Preliminary Pool B: Brazil vs Tunisia"
24th_July_2021,1:00,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Preliminary Round, Women's Singles Preliminary Round, Mixed Doubles Round of 16"
24th_July_2021,1:30,Archery,Yumenoshima Park Archery Field,Mixed Team 1/8 Eliminations
24th_July_2021,1:30,Hockey,Oi Hockey Stadium,"Men's Pool A: Japan vs Australia, Men's Pool B: Netherlands vs Belgium"
24th_July_2021,1:50,Weightlifting,Tokyo International Forum,Women's 49 kg Group B
24th_July_2021,2:00,Artistic Gymnastics,Ariake Gymnastics Centre,Men's Qualification
24th_July_2021,2:00,Taekwondo,Makuhari Messe Hall,"Women -49 kg Round of 16 (8 matches), Men -58 kg Round of 16 (8 matches), Women -49 kg Quarterfinals (4 matches), Men -58 kg Quarterfinals (4 matches), Women -49 kg Semifinals (2 matches), Men -58 kg Semifinals (2 matches)"
24th_July_2021,2:00,Baseball/Softball,Yokohama Baseball Stadium,"Softball Opening Round: Australia vs Canada, Softball Opening Round: United States vs Mexico"
24th_July_2021,2:00,Hockey,Oi Hockey Stadium,"Men's Pool A: New Zealand vs India, Men's Pool A: Argentina vs Spain"
24th_July_2021,2:15,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
24th_July_2021,3:00,Boxing,Kokugikan Arena,"Women's Feather (54-57kg) - Preliminaries - Round of 32, Women's Welter (64-69kg) - Preliminaries - Round of 32, Men's Feather (52-57kg) - Preliminaries - Round of 32, Men's Welter (63-69kg) - Preliminaries - Round of 32, Men's Heavy (81-91kg) - Preliminaries - Round of 32"
24th_July_2021,3:00,Judo,Nippon Budokan,"Women -48 kg Elimination Rounds, Women -48 kg Quarterfinals, Men -60 kg Elimination Rounds, Men -60 kg Quarterfinals"
24th_July_2021,3:00,Cycling Road,Fuji international Speedway,Men's Road Race
24th_July_2021,3:00,Tennis,Ariake Tennis Park,"Men's Singles First Round, Women's Singles First Round, Men's Doubles First Round, Women's Doubles First Round"
24th_July_2021,5:50,Weightlifting,Tokyo International Forum,Women's 49 kg Group A
24th_July_2021,6:00,Water Polo,Tatsumi Water Polo Centre,"Women's Preliminary Round - Group B: Japan vs United States, Women's Preliminary Round - Group A: Canada vs Australia"
24th_July_2021,6:00,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
24th_July_2021,6:15,Table Tennis,Tokyo Metropolitan Gymnasium,"Men's Singles Round 1, Women's Singles Round 1"
24th_July_2021,6:20,Volleyball,Ariake Arena,"Men's Preliminary Round - Pool B: ROC vs Argentina, Men's Preliminary Round - Pool A: Japan vs Venezuela"
24th_July_2021,6:15,Handball,Yoyogi National Stadium,"Men's Preliminary Round Group B: Sweden vs Bahrain, Men's Preliminary Round Group A: Germany vs Spain"
24th_July_2021,6:15,Archery,Yumenoshima Park Archery Field,"Mixed Team: Quarterfinals, Mixed Team: Semifinals, Mixed Team: Bronze Medal Match,  Mixed Team: Gold Medal Match"
24th_July_2021,9:30,3x3 Basketball,Aomi Urban Sports Park,"Women's Pool Round (2 games), Men's Pool Round (2 games)"
24th_July_2021,6:30,Artistic Gymnastics,Ariake Gymnastics Centre,Men's Qualification
24th_July_2021,7:00,Beach Volleyball,Shiokaze Park,Men's or Women's Preliminaries (3 matches)
24th_July_2021,8:30,Football,Sapporo Dome,"Women's Group E: Chile vs Canada, Women's Group E: Japan vs Great Britain"
24th_July_2021,9:00,Boxing,Kokugikan Arena,"Women's Feather (54-57kg) - Preliminaries - Round of 32, Men's Feather (52-57kg) - Preliminaries - Round of 32, Men's Welter (63-69kg) - Preliminaries - Round of 32, Men's Super Heavy (+91kg) - Preliminaries - Round of 32"
24th_July_2021,9:00,Judo,Nippon Budokan,"Women -48 kg Repechage, Women -48 kg Semifinals, Men -60 kg Repechage, Men -60 kg Semifinals, Women -48 kg Contests for Bronze Medal, Women -48 kg Final, Men -60 kg Contests for Bronze Medal, Men -60 kg Final"
